Title,Address,Wohnungstyp,Etage,Wohnflaeche,Bezugsfrei_ab,Zimmer,Schlafzimmer,Badezimmer,District,Haustiere,Kaltmiete,Nebenkosten,Heizkosten,Gesamtmiete,Kaution_o_genossenschaftsanteile,Agency,URL
Möblierte Wohnung Schwedter Straße - Furnished apartment Schwedter Straße - flat rate.,10435 Berlin Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter., ,0 von 4,60 m²,ab sofort,2, ,1, ,Nach Vereinbarung,1.150 €,+ 300 €,in Nebenkosten enthalten,1.450 €, , ,http://www.immobilienscout24.de/expose/108728972
Schöne 3 Zimmer Wohnung im Bergmannkiez!,"Bergmannstraße 27, 10961 Berlin, Kreuzberg (Kreuzberg)", ,3 von 5,106 m², ,3, , , , ,1.484 €,"+ 161,12 €","+ 84,80 €","1.729,92 €", , ,http://www.immobilienscout24.de/expose/108640235
"Wunderschöne 2,5-Zimmer-Wohnung mit Balkon und Einbauküche in Prenzlauer Berg, Berlin","Wörther Straße 32, 10405 Berlin, Prenzlauer Berg (Prenzlauer Berg)", ,4 von 5,80 m²,15.01.2019,"2,5", ,1, ,Nach Vereinbarung,1.300 €,+ 195 €,in Nebenkosten enthalten,1.495 €, , ,http://www.immobilienscout24.de/expose/108838478
Beuth-Hochschule in der Nähe: Single-Wohnung - modernisiert,"Transvaalstraße 14, 13351 Berlin, Wedding (Wedding)", ,1 von 4,36 m²,sofort,1, , , , ,540 €,+ 60 €,+ 40 €,640 €, , ,http://www.immobilienscout24.de/expose/108661668
Hochwertiges Designer-Penthouse im attraktiven Sapphire!,"Schwartzkopffstraße 1 A, 10115 Berlin, Mitte (Mitte)", ,6 von 6,107 m²,sofort,3,2,2, , ,2.750 €,+ 370 €,in Nebenkosten enthalten,3.120 €, , ,http://www.immobilienscout24.de/expose/108567948
Schicke Dreiraumwohnung mit Balkon,"Reichenberger Str. 5, 10999 Berlin, Kreuzberg (Kreuzberg)", ,4 von 6,"82,48 m²", ,3, , , , ,1.222 €,+ 223 €,in Nebenkosten enthalten,1.445 €, , ,http://www.immobilienscout24.de/expose/108127033
"Erstbezug: attraktive 2-Zimmer-Wohnung mit Balkon in Karlshorst (Lichtenberg), Berlin","Ehrlichstraße 33, 10318 Berlin, Karlshorst (Lichtenberg)", ,2 von 4,"61,17 m²",01.01.2019,2, ,1, ,Nach Vereinbarung,700 €,+ 150 €,in Nebenkosten enthalten,850 €, , ,http://www.immobilienscout24.de/expose/108705085
Luxus Apartment mit Doorman und Sicherheitsstufe A im Tiergarten,"Corneliusstraße 3, 10787 Berlin, Tiergarten (Tiergarten)", ,2 von 4,"137,06 m²", ,3, ,2, ,Ja,1.890 €,+ 650 €,in Nebenkosten enthalten,2.540 €, , ,http://www.immobilienscout24.de/expose/92741737
Schicke 2-Wohnung in Grunewald !,"Höhmannstr. 5-7, 14193 Berlin, Grunewald (Wilmersdorf)", ,0,"76,27 m²", ,2, ,1, , ,999 €,"+ 331,76 €",in Nebenkosten enthalten,"1.330,76 €", , ,http://www.immobilienscout24.de/expose/106239039
Elegant & großzügig – Das „Upper Eastside Berlin“!,"Unter den Linden 16, 10117 Berlin, Mitte (Mitte)", ,6 von 7,192 m²,sofort,4,2,1, , ,3.400 €,+ 880 €,+ 180 €,4.280 €, , ,http://www.immobilienscout24.de/expose/108669346
Erstklassische Luxus-City-Wohnung! Marmorbäder und 2 Balkone...,"Dahlmannstraße 9, 10629 Berlin, Charlottenburg (Charlottenburg)", ,1 von 5,165 m²,sofort,4,3,2, ,Nein,4.000 €,+ 500 €,in Nebenkosten enthalten,4.500 €, , ,http://www.immobilienscout24.de/expose/108656710
"Umfassend sanierte Wohnung mit Einbauküche, Parkett und Balkon","Brettnacher Straße 25, 14167 Berlin, Zehlendorf (Zehlendorf)", ,2 von 4,"58,68 m²",sofort,2, , , , ,950 €,+ 53 €,+ 87 €,1.090 €, , ,http://www.immobilienscout24.de/expose/108774906
"Sonnige Wohnung mit Südbalkon, Einbauküche, Aufzug und Tiefgaragenplatz im Erstbezug!","Lehrter Str. 24D, 10557 Berlin, Tiergarten (Tiergarten)", ,2 von 5,"102,17 m²",01.03.2019,4,3,2, ,Nach Vereinbarung,1.632 €,+ 488 €,inkl. 125 €,2.120 €, , ,http://www.immobilienscout24.de/expose/108831258
Vermiete auf Zeit einmalige Penthousewohnung - Berlin Mitte - wunderbarer Ausblick - möbiliert,10435 Berlin Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter., ,3 von 7,210 m²,01.10.2018,5, ,2, , ,2.650 €,+ 450 €,in Nebenkosten enthalten,3.100 €, , ,http://www.immobilienscout24.de/expose/105381800
Umfassend sanierte Wohnung mit Einbauküche und Parkett,"Schillingstraße 17, 13403 Berlin, Reinickendorf (Reinickendorf)", , ,"37,94 m²",sofort,"1,5", , , , ,650 €,+ 62 €,+ 25 €,737 €, , ,http://www.immobilienscout24.de/expose/108658583
3-Raum-Wohnung in Berlin-Kaulsdorf zu vermieten,"Brodauer Str. 44, 12621 Berlin, Kaulsdorf (Hellersdorf)", ,0 von 3,"55,31 m²",01.02.2019,3,1,1, ,Nach Vereinbarung,450 €,+ 110 €,+ 90 €,650 €, , ,http://www.immobilienscout24.de/expose/56506280
"1-Zimmer-Erdgeschosswohnung mit Einbauküche in Prenzlauer Berg, Berlin","Cotheniusstraße 1, 10407 Berlin, Prenzlauer Berg (Prenzlauer Berg)", , ,19 m²,ab sofort,1, ,1, ,Nein,338 €,+ 35 €,in Nebenkosten enthalten,373 €, , ,http://www.immobilienscout24.de/expose/108740798
Erstbezug nach umfassender Modernisierung - mit Balkon,"Wikingerufer 5, 10555 Berlin, Tiergarten (Tiergarten)", ,4 von 4,"62,89 m²",sofort,2, , , , ,1.060 €,+ 60 €,+ 80 €,1.200 €, , ,http://www.immobilienscout24.de/expose/108519668
**HAUSMEISTER Wohnung im EG** (3 Zi) auf Mini-Job Basis,"Hultschiner Damm 46, 12623 Berlin, Mahlsdorf (Hellersdorf)", ,0 von 4,76 m²,01.01.2019,3, ,1, ,Nach Vereinbarung,822 €,+ 264 €,in Nebenkosten enthalten,1.086 €, , ,http://www.immobilienscout24.de/expose/106809545
Entspannt - inspiriert - lässig. Neubau-Appartment mit gehobener Ausstattung.,"Richard-Sorge-Straße 52, 10249 Berlin - Friedrichshain, Friedrichshain (Friedrichshain)", ,1 von 7,120 m²,01.02.2019,3,1,2, ,Nach Vereinbarung,1.440 €,+ 270 €,in Nebenkosten enthalten,1.710 €, , ,http://www.immobilienscout24.de/expose/61556351
2 Zimmer am S-Bahnhof Wollank !,13359 Berlin Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter., ,4,"58,14 m²", ,2, ,1, , ,"697,68 €",+ 87 €,nicht in Nebenkosten enthalten,"784,68 € (zzgl. Heizkosten)", , ,http://www.immobilienscout24.de/expose/107938848
Friedrichshain: Moderne 3-Zimmer Wohnung,"Matthiasstrasse 11, 10249 Berlin Friedrichshain, Friedrichshain (Friedrichshain)", ,1 von 6,97 m²,15.01.2019,3,2,1, ,Nein,1.358 €,+ 170 €,+ 130 €,1.658 €, , ,http://www.immobilienscout24.de/expose/74601921
"Erstbezug! Einbauküche, Aufzug, Echtholzparkett, zwei Balkone und und und...","Alte Jakobstraße 75, 10179 Berlin, Mitte (Mitte)", , ,"80,57 m²",sofort,2, ,1, ,Nach Vereinbarung,1.435 €,+ 215 €,inkl. 100 €,1.650 €, , ,http://www.immobilienscout24.de/expose/108801871
"Hochwertige 2- Zimmer Wohnung mit Garten in ruhiger, zentraler Wohnlage in Berlin Schmargendorf","Fritz-Wildung-Strasse 14A, 14199 Berlin, Schmargendorf (Wilmersdorf)", ,1 von 5,"71,8 m²",17.12.2018,2, ,1, ,Nach Vereinbarung,1.150 €,"+ 301,85 €",in Nebenkosten enthalten,"1.451,85 €", , ,http://www.immobilienscout24.de/expose/108626277
Sehr schöne 3-Zimmer-Neubauwohnung mit sonniger Dachterrasse und Garten,"Berolinastraße 7c, 10178 Berlin, Mitte (Mitte)", ,1 von 7,"104,88 m²",01.02.2019,3, ,1, ,Nein,"1.598,32 €","+ 262,20 €",in Nebenkosten enthalten,"1.860,52 €", , ,http://www.immobilienscout24.de/expose/108840257
Schöne Zweizimmer-Wohnung nahe U6-Ullsteinstr.,"Ullsteinstr. 152a, 12105 Berlin, Mariendorf (Tempelhof)", ,2 von 4,"55,5 m²",15.2.2019,2,1,1, ,Nein,600 €,+ 300 €,in Nebenkosten enthalten,900 €, , ,http://www.immobilienscout24.de/expose/108461098
Altbau und hohe Decken in hipper Gegend,"Müggelstraße 17, 10247 Berlin-Friedrichshain, Friedrichshain (Friedrichshain)", ,1 von 4,"68,18 m²", ,2, , , , ,716 €,+ 105 €,nicht in Nebenkosten enthalten,821 € (zzgl. Heizkosten), , ,http://www.immobilienscout24.de/expose/108784466
vor Weihnachten mieten 1 Miete mietfrei Ein Wohntraum - über den Dächern Kreuzbergs,"Fidicinstr. 30, 10965 Berlin, Kreuzberg (Kreuzberg)", ,5 von 5,"86,7 m²",sofort,2, , , , ,1.740 €,+ 170 €,+ 60 €,1.970 €, , ,http://www.immobilienscout24.de/expose/108218662
"1.Zimmer, Duschbad mit Fenster, Einbauküche, Balkon Besichtigung am 19.12.18 um 13:30 Uhr",13585 Berlin Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter., ,3 von 3,29 m²,01.01.2018,1,1,1, ,Nein,480 €,+ 100 €,in Nebenkosten enthalten,580 €, , ,http://www.immobilienscout24.de/expose/98854216
FU-Nähe: Einliegerwohnung in Berlin-Grunewald,"Waldmeisterstr. 4-6, 14193 Berlin, Grunewald (Wilmersdorf)", ,-1 von 2,77 m²,sofort,2,1,1, ,Nach Vereinbarung,690 €,+ 250 €,in Nebenkosten enthalten,940 €, , ,http://www.immobilienscout24.de/expose/108838793
Lichtdurchflutete Penthouse-Wohnung in Wilmersdorf,"Fasanenstraße 49, 10719 Berlin, Wilmersdorf (Wilmersdorf)", ,6 von 6,190 m²,01.09.2018,4,2,1, ,Nach Vereinbarung,3.600 €,+ 570 €,in Nebenkosten enthalten,4.170 €, , ,http://www.immobilienscout24.de/expose/106846789
2 Zimmer Wohnung mit Balkon im Prenzl-Berg!,10409 Berlin Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter., ,1,"62,26 m²", ,2, ,1, , ,"943,24 €",+ 150 €,in Nebenkosten enthalten,"1.093,24 €", , ,http://www.immobilienscout24.de/expose/107297190
Exklusive Terrassenwohnung in Spitzenlage,"Albiger Weg 2, 14129 Berlin, Nikolassee (Zehlendorf)", ,0 von 2,102 m²,01.01.2019,3, ,2, ,Nach Vereinbarung,1.490 €,+ 390 €,in Nebenkosten enthalten,1.880 €, , ,http://www.immobilienscout24.de/expose/108164049
"BEQUEME, großzügige, helle 2 Zimmer-Wohnung mit überdachtem BALKON! AUFZUG! EINBAUKÜCHE! TIEFGARAGE!","Altenberger Weg 1, 13156 Berlin, Niederschönhausen (Pankow)", ,1 von 5,76 m²,sofort,2,1,1, ,Nach Vereinbarung,820 €,+ 100 €,inkl. 120 €,1.040 €, , ,http://www.immobilienscout24.de/expose/107833875
"Barrierefreie 2 Zimmer Erdgeschosswohnung mit EBK, Terrasse und sehr geräumigen Duschbad !","Reulestraße 17, 12105 Berlin, Mariendorf (Tempelhof)", ,0 von 3,"84,75 m²",sofort,2,1,1, ,Nach Vereinbarung,1.008 €,+ 186 €,+ 85 €,1.279 €, , ,http://www.immobilienscout24.de/expose/83585890
Erstbezug nach umfassender Modernisierung,"Lüneburger Straße 13, 10557 Berlin, Tiergarten (Tiergarten)", ,1 von 4,"70,94 m²",sofort,3, , , , ,1.300 €,+ 140 €,+ 60 €,1.500 €, , ,http://www.immobilienscout24.de/expose/108677287
+WILLKOMMEN IM NEUEN ZUHAUSE-ERSTBEZUG ZWISCHEN SPREE & LANDWEHRKANAL+,"Kiefholzstraße 25, 12435 Berlin, Treptow (Treptow)", ,1 von 6,"87,55 m²", ,3,2,2, ,Nach Vereinbarung,"1.313,25 €","+ 218,88 €","+ 87,33 €","1.619,46 €", , ,http://www.immobilienscout24.de/expose/108639149
"Erstbezug nach Sanierung: alles neu, alles schick","Courbièrestr. 5, 10787 Berlin, Schöneberg (Schöneberg)", ,0,107 m²,nach Absprache,"3,5",2,1, , ,1.590 €,+ 150 €,nicht in Nebenkosten enthalten,1.740 € (zzgl. Heizkosten), , ,http://www.immobilienscout24.de/expose/108812274
Umfassend modernisierte Zwei Zimmer Wohnung beim Mauerpark,"Kremmener Straße 14, 10435 Berlin, Mitte (Mitte)", ,2 von 4,"39,84 m²",sofort,2, , , , ,1.020 €,+ 60 €,+ 70 €,1.150 €, , ,http://www.immobilienscout24.de/expose/108346526
Penthousewohnung nahe Potsdamer Platz mit atemberaubendem Blick über die Stadt,10785 Berlin / Tiergarten Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter., ,8 von 8,143 m², ,4,2,2, , ,3.950 €,+ 360 €,keine Angabe,4.310 € (zzgl. Heizkosten), , ,http://www.immobilienscout24.de/expose/108658903
Nachmieter für TOP SANIERTE 1-RAUM WOHNUNG IM HERZEN MARIENFELDES,"Marienfelder Allee 178, 12279 Berlin, Marienfelde (Tempelhof)", ,10 von 11,"44,58 m²",15.01.2019,1,1,1, ,Nein,"445,80 €","+ 135,97 €",in Nebenkosten enthalten,"581,77 €", , ,http://www.immobilienscout24.de/expose/99479481
Einzigartiges Dachgeschoss im Scheunenviertel!,10117 Berlin Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter., ,5 von 5,220 m²,01.03.2019,5,3,2, , ,4.300 €,+ 550 €,keine Angabe,4.850 € (zzgl. Heizkosten), , ,http://www.immobilienscout24.de/expose/108631599
"3-Zimmer-Wohnung mit Blick über Berlin-Mitte, Mitte!","Neue Roßstraße 19, 10179 Berlin, Mitte (Mitte)", , ,"86,61 m²",sofort,3, ,1, ,Nach Vereinbarung,1.470 €,+ 230 €,inkl. 110 €,1.700 €, , ,http://www.immobilienscout24.de/expose/108801872
Sanierte 2-Zimmer mit EBK + Balkon,"Freibergstr. 23, 12107 Berlin, Mariendorf (Tempelhof)", ,3 von 3,59 m², ,2,2,1, ,Nach Vereinbarung,"722,75 €","+ 88,57 €","+ 29,50 €","840,82 €", , ,http://www.immobilienscout24.de/expose/108834565
Schlossblick inklusive: Großartige Maisonette mit 2 Terassen direkt am Schlosspark in Pankow,"Tschaikowskistrasse 3, 13156 Berlin, Niederschönhausen (Pankow)", ,3 von 3,"153,98 m²",15.11.2018,4,3,2, ,Nach Vereinbarung,"1.847,76 €",+ 462 €,inkl. 200 €,"2.309,76 €", , ,http://www.immobilienscout24.de/expose/108705419
"umfassend modernisiert mit Einbauküche, Parkett und Balkon","Scharnweberstraße 3, 10247 Berlin, Friedrichshain (Friedrichshain)", ,2 von 5,"73,72 m²",sofort,2, , , , ,1.290 €,+ 90 €,+ 120 €,1.500 €, , ,http://www.immobilienscout24.de/expose/108796486
Umfassend modernisierte Wohnung mit Einbauküche und Parkett,"Eitelstraße 16, 10317 Berlin, Lichtenberg (Lichtenberg)", , ,"58,09 m²",sofort,2, , , , ,815 €,+ 75 €,nicht in Nebenkosten enthalten,890 € (zzgl. Heizkosten), , ,http://www.immobilienscout24.de/expose/108507182
Stunning 3 bedrooms apartment in Charlottenburg,"Rückerstraße 1, 10119 Berlin, Mitte (Mitte)", , ,75 m²,15.11.2018,3,3,1, ,Nein,2.200 €,+ 0 €,inkl. 0 €,2.200 €, , ,http://www.immobilienscout24.de/expose/108097666
"ERSTBEZUG! 3-Zimmerwohnung im Neubau, 5 min bis KaDeWe","Keithstr. 34, 10787 Berlin, Tiergarten (Tiergarten)", ,2 von 5,75 m²,15.12.2018,3,2,1, , ,1.500 €,+ 200 €,nicht in Nebenkosten enthalten,1.700 € (zzgl. Heizkosten), , ,http://www.immobilienscout24.de/expose/108745179
Ruhige und geräumige Wohnung Mitten im P-Berg !,"Stargarderstr. 73, 10437 Berlin, Prenzlauer Berg (Prenzlauer Berg)", ,1,"73,3 m²",15.10.2018,3, ,1, , ,"1.122,96 €",+ 240 €,in Nebenkosten enthalten,"1.362,96 €", , ,http://www.immobilienscout24.de/expose/107800992
Moderne Maisonette mit großer Süd Terrasse und 2 Bädern,"Billy Wilder Promenade 13A, 14167 Berlin, Lichterfelde (Steglitz)", ,0,"132,4 m²",1.1.2019,4,3,2, ,Nach Vereinbarung,1.490 €,+ 398 €,in Nebenkosten enthalten,1.888 €, , ,http://www.immobilienscout24.de/expose/108686756
Erstbezug nach Sanierung: ruhig wohnen in Schöneberg,"Courbièrestr. 5, 10787 Berlin, Schöneberg (Schöneberg)", ,0,105 m²,nach Absprache,3,2,1, , ,1.590 €,+ 150 €,nicht in Nebenkosten enthalten,1.740 € (zzgl. Heizkosten), , ,http://www.immobilienscout24.de/expose/108482893
Sonnige Wohnung mit Balkon am Hamburger Platz,"Pistoriusstr. 101 B, 13086 Berlin, Weißensee (Weißensee)", ,2 von 4,"61,48 m²", ,2,1,1, ,Nach Vereinbarung,610 €,+ 120 €,+ 65 €,795 €, , ,http://www.immobilienscout24.de/expose/108639219
Dachgeschoss nähe Alt-Buckow Dorfkirche - WBS erforderlich,"Alt-Buckow 5a, 12349 Berlin, Buckow (Neukölln)", ,2 von 2,"74,14 m²",sofort,3,2,1, , ,"852,61 €",+ 130 €,+ 70 €,"1.052,61 €", , ,http://www.immobilienscout24.de/expose/108317714
Nähe Alt-Buckow Dorfkirche großzügige 3-Zimmer-Wohnung - WBS erforderlich,"Alt-Buckow 5a, 12349 Berlin, Buckow (Neukölln)", ,1 von 2,"80,35 m²",sofort,3,2,1, , ,"924,03 €",+ 144 €,"+ 61,62 €","1.129,65 €", , ,http://www.immobilienscout24.de/expose/108269056
Erstbezug nach Sanierung! Studiowohnung mit Terrasse und Hochebene,"Transvaalstr. 14, 13351 Berlin, Wedding (Wedding)", ,0 von 5,41 m²,kurzfristig nach Absprache,1, , , ,Nach Vereinbarung,798 €,+ 62 €,+ 30 €,890 €, , ,http://www.immobilienscout24.de/expose/108759021
modernisierte 3 Zimmer Wohnung bei der Jannowitzbrücke,"Holzmarktstraße 56, 10179 Berlin, Mitte (Mitte)", ,10 von 10,"73,1 m²",sofort,3, , , , ,1.220 €,+ 120 €,+ 60 €,1.400 €, , ,http://www.immobilienscout24.de/expose/108500015
ERSTBEZUG nach Kernsanierung! gemütliche 3 Zimmer Dachgeschosswohnung mit Weitblick vom Balkon ###,14167 Berlin (Zehlendorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter., ,2 von 2,66 m², ,3,2,1, ,Nach Vereinbarung,910 €,+ 165 €,inkl. 65 €,1.075 €, , ,http://www.immobilienscout24.de/expose/107729521
FLAT SHOWING ON SUNDAY: 16.12. at 2pm! RENOVATED SHARE ABLE 3-room apartment!,"Kantstraße 68, 10627 Berlin, Charlottenburg (Charlottenburg)", ,1 von 4,102 m²,sofort,3,3,1, ,Nach Vereinbarung,"1.175,96 €","+ 127,60 €",nicht in Nebenkosten enthalten,"1.303,56 € (zzgl. Heizkosten)", , ,http://www.immobilienscout24.de/expose/108521406
Neubau Erstbezug mit Blick über die Stadt - 6-Zimmer-Wohnung mit Terrasse,"Mainzer Str. 34, 12053 Berlin, Neukölln (Neukölln)", ,5 von 6,"137,46 m²",01.11.2018,6,5,2, , ,"2.061,90 €",+ 250 €,+ 140 €,"2.451,90 €", , ,http://www.immobilienscout24.de/expose/108063203
Kleines Familienidyll in der grünen Siemensstadt,"Quellweg 57, 13629 Berlin-Spandau, Siemensstadt (Spandau)", ,1 von 3,"61,06 m²",sofort,2,1,1, , ,653 €,+ 94 €,+ 52 €,799 €, , ,http://www.immobilienscout24.de/expose/107665865
"Erstvermietung: hochwertige Wohnung im Erdgeschoss, barrierefrei Nähe Kurfürstendamm","Seesener Str. 40-47, 10711 Berlin, Wilmersdorf (Wilmersdorf)", ,0 von 6,"87,68 m²",sofort,2,1,1, , ,"1.131,07 €","+ 214,82 €","+ 113,98 €","1.459,87 €", , ,http://www.immobilienscout24.de/expose/107075630
Modernes Dachgeschoss - Erstbezug nach hochertigem Ausbau,14057 Berlin Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter., ,5 von 5,"190,35 m²",01.10.2018,5,3,2, , ,2.350 €,+ 280 €,+ 220 €,2.850 €, , ,http://www.immobilienscout24.de/expose/107253150
1 Zimmer Wohnung am Ring ! Mit Balkon !,10409 Berlin Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter., ,3,"46,29 m²", ,1, ,1, , ,"699,90 €",+ 117 €,in Nebenkosten enthalten,"816,90 €", , ,http://www.immobilienscout24.de/expose/107431809
Dachgeschosswohnung und doch kaum Schrägen! Frisch saniert mit Balkon+Wannenbad am Schierker Platz.,"Nogatstr. 6, 12051 Berlin, Neukölln (Neukölln)", ,5 von 5,"80,58 m²",sofort,2,1,1, , ,1.050 €,+ 112 €,+ 86 €,1.248 €, , ,http://www.immobilienscout24.de/expose/108773901
Frisch für Sie saniert - Großzügige 4 Zimmerwohnung in Schöneberg,"Heylstraße 31, 10825 Berlin, Schöneberg (Schöneberg)", ,2 von 5,"124,6 m²",sofort,4,3,1, ,Nach Vereinbarung,"1.495,20 €","+ 168,21 €","+ 261,66 €","1.925,07 €", , ,http://www.immobilienscout24.de/expose/108274067
Großzügige sanierte Altbau-Wohnung in Moabit,"Oldenburgerstraße 43, 10551 Berlin, Tiergarten (Tiergarten)", ,2 von 5,85 m²,ab sofort,"2,5", ,1, ,Nein,1.050 €,+ 250 €,in Nebenkosten enthalten,1.300 €, , ,http://www.immobilienscout24.de/expose/108468876
"Traumhafte 2-Zimmerwohnung mit 34,50 qm Terrasse","Ladeburger Weg 4, 13509 Berlin, Wittenau (Reinickendorf)", ,2 von 2,92 m²,01.10.2018,2,2,1, , ,1.066 €,+ 110 €,+ 74 €,1.250 €, , ,http://www.immobilienscout24.de/expose/108262189
Auf 3 Jahre befristet: 4 Zimmer (3 bedroom) appartment mit 2 Balkonen in Prenzlauer Berg,10439 Berlin Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter., ,2 von 4,112 m²,01.02.2019,4, ,1, ,Nein,1.390 €,+ 225 €,in Nebenkosten enthalten,1.615 €, , ,http://www.immobilienscout24.de/expose/106750742
Großzügige 2-Zimmer - Dielenfußboden - Balkon - Wannenbad,"Soldiner Straße 34, 13359 Berlin, Wedding (Wedding)", ,1 von 4,"69,38 m²",sofort,2,1,1, ,Nach Vereinbarung,"657,96 €",+ 150 €,in Nebenkosten enthalten,"807,96 €", , ,http://www.immobilienscout24.de/expose/108679877
Umfassend modernisierte Wohnung mit Einbauküche und Parkett,"Schillingstraße 16, 13403 Berlin, Reinickendorf (Reinickendorf)", ,2 von 3,"56,22 m²",sofort,2, , , , ,800 €,+ 93 €,+ 37 €,930 €, , ,http://www.immobilienscout24.de/expose/108726222
Umfassend sanierte Wohnung mit Einbauküche und Parkett,"Lynarstraße 24, 13585 Berlin, Spandau (Spandau)", ,1 von 4,"113,44 m²",sofort,4, , , , ,1.140 €,+ 170 €,+ 87 €,1.397 €, , ,http://www.immobilienscout24.de/expose/108320456
CITY-CONCEPT: Moderne sonnige Komfortwohnung mit Vollausstattung in den Klostergärten,"Klosterstraße 65, 10179 Berlin, Mitte (Mitte)", ,4,"88,41 m²",15.12.18,3,2,2, , ,1.630 €,+ 205 €,in Nebenkosten enthalten,1.835 €, , ,http://www.immobilienscout24.de/expose/107918666
"sanierte sonnige 3-Zimmerwohnung, Besichtigung 19.12.2018 um 13:00 Uhr!","Eisenacher Str. 52c, 12109 Berlin, Mariendorf (Tempelhof)", ,1 von 4,"70,05 m²",sofort,3,1,1, ,Nach Vereinbarung,700 €,+ 140 €,+ 110 €,950 €, , ,http://www.immobilienscout24.de/expose/100779747
Wohnen in Pankow,"Heegermühler Weg 24, 13156 Berlin, Niederschönhausen (Pankow)", ,2 von 4,"81,74 m²",Nach vereinbarung,3, , , , ,859 €,+ 100 €,+ 115 €,1.074 €, , ,http://www.immobilienscout24.de/expose/101035835
Moderne 3-Zimmer-Stuckaltbauwohnung ruhige Kiezlage mit Marken-EBK / Luxusbad / Gäste-WC / Balkon,10551 Berlin Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter., ,3 von 5,"109,8 m²",01.04.2019,3,3,1, ,Nach Vereinbarung,1.650 €,+ 200 €,in Nebenkosten enthalten,1.850 €, , ,http://www.immobilienscout24.de/expose/86302509
umfassend modernisierte Wohnung mit Einbauküche und Balkon,"Schnellerstraße 71A, 12439 Berlin, Niederschöneweide (Treptow)", , ,"73,35 m²",sofort,3, , , , ,769 €,+ 89 €,+ 137 €,995 €, , ,http://www.immobilienscout24.de/expose/108732063
"Wedding, 2 Zimmer, Einbauküche, Balkon","Türkenstraße 21, 13349 Berlin, Wedding (Wedding)", ,1 von 5,"61,67 m²",sofort,3, , , , ,1.135 €,+ 95 €,+ 70 €,1.300 €, , ,http://www.immobilienscout24.de/expose/108314750
"ATTRAKTIVE PÄRCHEN-WOHNUNG IM ARCHITEKTENHAUS! BALKON,EBK, PARKETT, LIFT UVM, FREI AB 01.2019",13187 Berlin Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter., ,3 von 4,"90,32 m²",01.01.2019,3,2,1, ,Nach Vereinbarung,"1.174,16 €",+ 340 €,keine Angabe,"1.514,16 € (zzgl. Heizkosten)", , ,http://www.immobilienscout24.de/expose/108488661
Top-sanierte 3-Zimmerwohnung mit offener Küche und Wintergarten,"Römerweg 54, 10318 Berlin, Karlshorst (Lichtenberg)", ,0 von 4,"74,77 m²",sofort,3,2,1, ,Nach Vereinbarung,853 €,+ 165 €,inkl. 93 €,1.111 €, , ,http://www.immobilienscout24.de/expose/108490375
"Erstbezug nach Sanierung! Hier bleiben keine Wünsche offen! WG geeignet, mit Balkon","Schwabstr. 21, 13409 Berlin, Reinickendorf (Reinickendorf)", ,1 von 4,"66,11 m²",sofort,3,3, , ,Nach Vereinbarung,"793,32 €",+ 160 €,nicht in Nebenkosten enthalten,"953,32 € (zzgl. Heizkosten)", , ,http://www.immobilienscout24.de/expose/107982679
"Wedding 3 Zimmer, Einbauküche","Lüderitzstraße 56, 13351 Berlin, Wedding (Wedding)", ,1 von 5,"62,2 m²",sofort,3, , , , ,1.075 €,+ 100 €,+ 75 €,1.250 €, , ,http://www.immobilienscout24.de/expose/108314281
"Wedding Einbauküche, Waschtrockner","Bornemannstraße 6, 13357 Berlin, Wedding (Wedding)", ,1 von 6,"37,83 m²",sofort,2, , , , ,800 €,+ 60 €,+ 40 €,900 €, , ,http://www.immobilienscout24.de/expose/108726831
Wohnen im ältesten Hochhaus Berlins am Roseneck,"Hohenzollerndamm 105, 14199 Berlin, Schmargendorf (Wilmersdorf)", ,11 von 16,83 m²,01.03.2018,3,1,1, ,Nach Vereinbarung,750 €,+ 212 €,in Nebenkosten enthalten,962 €, , ,http://www.immobilienscout24.de/expose/102345690
Hochwertige Maisonettewohnung am Amalienpark,"Breite Straße 3 a, 13187 Berlin, Pankow (Pankow)", ,2 von 3,"175,37 m²",01.10.2018,5,3,2, , ,2.250 €,+ 241 €,+ 241 €,2.732 €, , ,http://www.immobilienscout24.de/expose/85692417
"Möblierte 2,5-Zimmer-Wohnung in verkehrsgünstiger Grünruhelage Berlin-Frohnau",13465 Berlin Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter., , ,"73,23 m²",nach Vereinbarung,"2,5",1,1, , ,1.480 €,+ 260 €,in Nebenkosten enthalten,1.740 €, , ,http://www.immobilienscout24.de/expose/107314759
