id,produto,channel,free_user,user_plan,t,c
3417,B,88,0,0,9,0
330,B,22,0,0,9,0
3231,A,44,1,1,10,1
2818,B,22,1,1,1,1
1477,B,22,1,1,15,0
3566,B,88,0,0,9,0
2853,B,33,1,1,0,1
2377,A,44,1,1,0,1
3556,B,22,1,0,1,1
1595,A,44,1,1,0,1
2005,B,11,1,1,30,0
567,B,22,0,0,9,0
569,B,22,1,1,8,0
597,B,22,1,1,8,0
810,A,44,1,1,3,1
2417,B,22,1,1,15,0
2219,A,44,1,1,0,1
1726,B,22,0,0,9,0
1517,A,44,1,1,0,1
3184,A,44,1,1,7,1
4824,B,88,0,0,9,0
3747,B,11,1,1,31,0
673,B,22,0,0,9,0
1741,B,77,0,0,2,1
4397,B,22,1,0,4,0
885,A,44,1,1,19,1
3239,B,77,0,0,9,0
1894,B,99,0,0,9,0
1281,B,22,1,1,9,0
1761,B,22,1,1,4,0
1497,A,44,1,1,7,1
2745,B,11,0,1,9,0
4966,B,11,0,0,9,0
4341,B,22,1,1,20,0
3870,B,33,1,1,23,0
3767,B,33,1,0,0,1
2007,B,22,1,1,15,1
4475,B,77,0,0,9,0
2741,B,22,0,1,4,1
3257,A,44,1,1,0,1
901,A,44,1,1,0,1
2555,B,77,0,0,9,0
3006,B,33,1,1,0,1
1094,B,22,1,1,9,0
4954,B,11,0,0,9,0
8,B,22,1,0,13,0
3750,B,33,1,1,0,1
4816,B,88,0,0,9,0
3514,B,88,0,1,9,0
5608,B,22,1,1,8,0
3348,B,77,1,1,12,0
5535,B,22,1,1,9,0
919,B,22,0,0,9,0
2391,A,44,1,1,17,1
1357,B,22,1,1,25,0
3026,A,44,1,1,25,0
255,B,33,1,1,0,1
1829,B,22,1,1,9,0
246,B,22,0,0,9,0
871,A,44,1,1,0,1
1251,B,22,1,0,9,0
710,B,33,1,0,0,1
322,B,22,1,1,8,0
1501,A,44,1,1,10,1
1333,B,33,1,1,0,1
1091,B,22,1,1,26,0
2947,B,33,1,1,0,1
3025,A,44,1,1,25,0
2191,B,33,1,0,0,1
5573,B,22,1,1,21,0
24,B,22,0,0,9,0
3451,B,77,1,0,0,1
677,B,22,0,1,9,0
1969,B,22,1,1,5,1
198,B,22,1,1,9,0
5117,B,33,1,1,9,0
929,B,22,0,0,9,0
1157,B,22,0,0,9,0
3372,B,88,0,1,9,0
3825,B,33,1,1,0,1
2292,A,44,1,1,0,1
3651,B,11,0,1,9,0
2473,B,77,1,0,0,1
5782,B,77,0,0,9,0
2568,B,77,0,0,9,0
3136,A,44,1,1,0,1
1743,B,77,0,0,2,1
628,B,22,1,0,5,0
634,B,22,1,1,9,0
1306,B,22,0,0,9,0
3938,A,44,1,1,10,1
1215,B,22,0,0,9,0
2772,B,22,1,0,0,1
2613,B,77,0,1,0,1
891,A,44,1,1,0,1
2312,A,44,1,1,0,1
28,B,22,1,1,9,0
180,B,22,1,1,15,0
1039,B,77,1,0,0,1
3317,B,77,1,0,0,1
2159,B,33,1,0,0,1
175,B,11,0,1,0,1
749,B,22,1,1,21,0
3133,B,22,0,0,9,0
4590,B,77,1,0,11,0
5309,A,44,1,1,25,0
327,A,44,1,1,0,1
2360,A,66,1,1,7,0
610,B,22,1,0,0,1
3070,A,44,1,1,0,1
3604,B,22,1,1,18,1
3552,B,88,0,0,9,0
1767,B,77,0,0,4,1
3381,B,77,1,0,1,1
2461,B,22,0,0,9,0
931,B,22,1,1,24,0
1862,B,22,1,0,17,0
2489,B,22,1,1,26,0
1578,A,44,1,1,12,1
1021,B,22,0,0,9,0
4692,B,88,0,0,9,0
2173,B,33,1,1,13,0
1380,B,22,1,1,12,0
1883,B,22,1,1,8,0
2447,B,22,1,1,15,0
4139,A,44,1,1,24,0
2003,B,11,0,0,9,0
1545,B,22,1,0,1,0
531,B,22,1,1,5,0
2316,A,44,1,1,0,1
2010,B,11,0,0,9,0
1043,B,77,1,0,0,1
1115,B,22,1,0,9,0
706,B,33,1,1,0,1
801,B,22,1,1,18,0
405,B,77,1,1,1,1
2600,B,88,0,0,9,0
394,B,77,0,2,7,1
5596,B,22,1,1,9,0
708,B,33,1,1,0,1
3099,A,44,1,1,10,1
3155,B,77,1,1,10,0
4365,B,22,1,1,3,0
3761,B,33,1,0,0,1
5464,A,44,1,1,9,0
536,B,22,1,0,17,1
1463,B,22,1,1,23,0
2243,A,44,1,1,22,0
2459,B,77,1,0,0,1
4930,B,11,1,0,1,0
3709,B,33,1,0,0,1
579,B,22,1,0,0,1
2181,B,33,0,1,9,0
1415,B,22,0,0,9,0
3911,B,33,1,0,1,1
3195,B,77,0,0,9,0
233,B,33,1,0,1,1
1611,A,44,1,1,10,1
5066,B,11,0,0,9,0
1473,A,44,1,1,13,1
2634,B,22,1,0,0,1
3241,A,44,1,1,16,1
2457,B,77,1,1,7,1
1214,B,22,1,0,9,0
3903,B,33,1,0,0,1
3271,B,77,0,0,9,0
3047,B,33,1,1,1,1
1862,B,22,1,1,4,1
1252,B,22,1,0,0,1
1776,B,77,1,1,0,1
632,B,22,1,0,12,0
816,B,22,1,1,15,0
56,A,66,1,1,7,1
2054,B,11,0,1,9,0
2700,B,88,0,0,9,0
1799,B,77,1,0,0,1
666,B,11,1,0,0,1
1195,B,22,1,1,9,0
2804,B,22,1,0,0,1
3565,B,22,1,0,0,1
42,B,22,0,1,9,0
779,B,33,1,1,0,1
5281,B,33,1,1,3,0
2879,B,33,1,1,0,1
5470,A,44,1,1,25,0
209,B,22,0,0,9,0
1143,B,22,0,1,9,0
3112,A,44,1,1,0,1
3661,B,22,1,0,1,1
1027,B,22,1,1,9,0
4654,B,88,0,0,9,0
4138,A,44,1,1,9,0
5574,B,22,1,1,5,0
2328,A,44,1,1,5,1
4246,B,22,1,1,9,0
5565,B,22,1,1,18,0
1837,B,22,1,1,22,0
791,B,22,0,1,9,0
3363,B,88,0,0,9,0
2509,B,77,1,0,0,1
304,B,22,1,1,5,0
2211,B,33,1,0,13,0
1820,B,22,1,1,24,0
412,B,77,1,0,0,1
703,B,33,1,0,0,1
2035,B,22,1,0,0,1
2273,A,44,1,1,31,0
4928,B,11,0,0,9,0
863,A,44,1,1,0,1
5032,B,11,1,0,3,0
2789,B,11,1,0,7,0
4944,B,11,0,1,9,0
2119,B,33,0,0,0,1
482,B,22,1,1,4,0
3683,B,11,1,0,2,0
73,B,11,0,1,1,1
3166,B,77,1,1,4,0
690,B,22,0,0,9,0
1093,B,22,1,1,5,0
617,B,22,1,1,9,0
1690,B,22,1,1,26,0
3582,B,11,1,1,5,0
2954,A,44,1,1,9,0
5518,B,22,1,1,7,0
3033,B,22,1,1,5,0
3466,B,77,1,0,6,1
1611,B,22,1,1,9,0
2910,B,33,0,0,0,1
1320,B,22,1,0,14,0
4033,A,44,1,1,24,0
2403,A,44,1,1,0,1
5392,A,44,1,1,24,0
1549,B,22,1,1,9,0
798,B,22,1,0,13,0
2637,B,22,1,0,0,1
3611,B,11,1,1,29,0
2865,B,33,1,0,0,1
2194,A,44,0,1,9,1
1628,A,44,1,1,0,1
2900,B,33,1,0,1,0
3960,B,33,1,1,9,0
578,B,22,1,0,0,1
87,B,22,1,1,11,0
1211,B,22,1,1,9,0
4960,B,11,0,0,9,0
1850,B,77,1,0,8,1
2907,B,33,1,1,16,0
5626,B,22,0,1,9,0
1494,B,22,1,1,14,0
3866,B,33,1,1,25,0
5313,A,44,1,1,29,0
2014,B,22,1,0,2,1
2680,B,22,1,0,0,1
2334,A,44,1,1,17,1
74,B,22,0,0,9,0
5766,B,77,1,1,27,0
3634,B,22,1,0,0,1
1534,B,22,0,1,9,0
1662,B,22,1,1,18,0
1058,B,22,0,1,9,0
1060,B,77,0,0,4,1
1685,B,77,0,0,8,1
4971,B,11,0,0,9,0
4891,B,11,0,1,9,0
745,B,22,1,1,8,0
3534,B,22,1,0,0,1
1459,B,22,1,0,9,0
3361,B,77,1,0,0,1
3926,A,44,1,1,0,1
79,B,22,1,1,22,0
281,B,33,1,0,0,1
3385,B,88,0,0,9,0
75,B,11,1,1,4,1
166,B,22,0,0,9,0
3503,B,88,0,1,9,0
3169,A,44,1,1,0,1
568,B,22,1,1,2,1
1753,B,22,1,1,5,0
5735,B,77,0,1,9,0
2957,B,33,1,1,0,1
5789,B,77,0,0,9,0
885,B,22,1,0,11,0
510,B,22,1,0,22,0
508,B,22,0,0,9,0
4873,B,11,1,1,25,0
2155,B,33,1,0,0,1
3444,B,77,1,0,1,1
1936,B,99,0,1,9,0
4049,A,44,1,1,30,0
2320,A,44,1,1,0,1
3569,B,22,1,0,0,1
1790,B,22,1,1,9,0
381,A,44,1,1,0,1
3574,B,11,0,0,9,0
2366,A,44,1,1,1,1
2539,B,77,0,0,9,0
693,B,33,1,1,4,1
75,B,22,1,1,22,0
3343,B,77,1,0,1,1
3122,A,44,1,1,0,1
3196,B,77,1,1,5,0
4967,B,11,0,0,9,0
4902,B,11,0,1,9,0
1731,B,22,1,1,9,0
462,B,22,1,1,17,0
3111,A,44,1,1,7,1
5091,B,33,1,1,9,0
1171,B,22,1,1,9,0
2106,B,33,1,1,23,0
2140,B,33,1,1,0,1
5660,B,22,0,0,9,0
134,B,22,1,1,15,0
1668,B,22,1,0,22,0
2945,A,44,1,1,9,0
5656,B,22,1,1,9,0
5349,A,44,1,1,29,0
1176,B,77,0,1,0,1
2497,B,77,0,0,9,0
3967,A,44,1,1,17,1
208,B,22,1,1,12,0
5553,B,22,0,0,9,0
2372,A,66,1,1,5,0
1141,B,22,0,0,9,0
441,B,22,1,1,4,0
3397,B,88,0,0,9,0
3536,B,88,0,0,9,0
2603,B,88,0,0,9,0
796,B,22,1,0,30,0
2242,A,44,1,1,16,0
824,B,22,1,1,5,0
270,B,22,1,0,5,0
1330,B,22,1,1,22,0
526,B,22,0,0,9,0
2718,B,22,1,0,0,1
1908,B,22,1,0,1,1
4645,B,77,0,0,9,0
3286,B,77,1,0,0,1
4766,B,88,0,0,9,0
1046,B,22,1,0,18,0
3883,B,33,1,1,3,0
1263,B,22,0,0,9,0
2814,B,22,1,0,0,1
1,B,22,1,1,21,0
1003,B,22,1,1,5,0
2996,B,33,1,1,0,1
351,A,44,1,1,22,1
4286,B,22,1,1,1,0
1322,B,22,0,1,9,0
3567,B,22,1,1,1,1
2624,B,22,1,0,17,1
5646,B,22,1,1,8,0
424,B,22,0,0,9,0
3691,B,11,1,0,3,0
